sAMAccountName,firstName,lastName,displayName,groups,userPrincipalName,password,ou,description
Danel.Mondadori,Danel,Mondadori,Danel Mondadori,BulkUsers,Danel.Mondadori@cloudoperations.com,Welcome78,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kshitij.Gils,Kshitij,Gils,Kshitij Gils,BulkUsers,Kshitij.Gils@cloudoperations.com,Welcome79,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Premal.Baek,Premal,Baek,Premal Baek,BulkUsers,Premal.Baek@cloudoperations.com,Welcome80,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Zhongwei.Rosen,Zhongwei,Rosen,Zhongwei Rosen,BulkUsers,Zhongwei.Rosen@cloudoperations.com,Welcome81,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Parviz.Lortz,Parviz,Lortz,Parviz Lortz,BulkUsers,Parviz.Lortz@cloudoperations.com,Welcome82,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Vishv.Zockler,Vishv,Zockler,Vishv Zockler,BulkUsers,Vishv.Zockler@cloudoperations.com,Welcome83,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Tuval.Kalloufi,Tuval,Kalloufi,Tuval Kalloufi,BulkUsers,Tuval.Kalloufi@cloudoperations.com,Welcome84,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kenroku.Malabarba,Kenroku,Malabarba,Kenroku Malabarba,BulkUsers,Kenroku.Malabarba@cloudoperations.com,Welcome85,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Somnath.Foote,Somnath,Foote,Somnath Foote,BulkUsers,Somnath.Foote@cloudoperations.com,Welcome86,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Xinglin.Eugenio,Xinglin,Eugenio,Xinglin Eugenio,BulkUsers,Xinglin.Eugenio@cloudoperations.com,Welcome87,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Jungsoon.Syrzycki,Jungsoon,Syrzycki,Jungsoon Syrzycki,BulkUsers,Jungsoon.Syrzycki@cloudoperations.com,Welcome88,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Sudharsan.Flasterstein,Sudharsan,Flasterstein,Sudharsan Flasterstein,BulkUsers,Sudharsan.Flasterstein@cloudoperations.com,Welcome89,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kendra.Hofting,Kendra,Hofting,Kendra Hofting,BulkUsers,Kendra.Hofting@cloudoperations.com,Welcome90,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Amabile.Gomatam,Amabile,Gomatam,Amabile Gomatam,BulkUsers,Amabile.Gomatam@cloudoperations.com,Welcome91,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Valdiodio.Niizuma,Valdiodio,Niizuma,Valdiodio Niizuma,BulkUsers,Valdiodio.Niizuma@cloudoperations.com,Welcome92,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Sailaja.Desikan,Sailaja,Desikan,Sailaja Desikan,BulkUsers,Sailaja.Desikan@cloudoperations.com,Welcome93,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Arumugam.Ossenbruggen,Arumugam,Ossenbruggen,Arumugam Ossenbruggen,BulkUsers,Arumugam.Ossenbruggen@cloudoperations.com,Welcome94,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hilari.Morton,Hilari,Morton,Hilari Morton,BulkUsers,Hilari.Morton@cloudoperations.com,Welcome95,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Jayson.Mandell,Jayson,Mandell,Jayson Mandell,BulkUsers,Jayson.Mandell@cloudoperations.com,Welcome96,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Remzi.Waschkowski,Remzi,Waschkowski,Remzi Waschkowski,BulkUsers,Remzi.Waschkowski@cloudoperations.com,Welcome97,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Sreekrishna.Servieres,Sreekrishna,Servieres,Sreekrishna Servieres,BulkUsers,Sreekrishna.Servieres@cloudoperations.com,Welcome98,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Valter.Sullins,Valter,Sullins,Valter Sullins,BulkUsers,Valter.Sullins@cloudoperations.com,Welcome99,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hironobu.Haraldson,Hironobu,Haraldson,Hironobu Haraldson,BulkUsers,Hironobu.Haraldson@cloudoperations.com,Welcome100,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Perla.Heyers,Perla,Heyers,Perla Heyers,BulkUsers,Perla.Heyers@cloudoperations.com,Welcome101,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Paraskevi.Luby,Paraskevi,Luby,Paraskevi Luby,BulkUsers,Paraskevi.Luby@cloudoperations.com,Welcome102,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Akemi.Birch,Akemi,Birch,Akemi Birch,BulkUsers,Akemi.Birch@cloudoperations.com,Welcome103,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Xinyu.Warwick,Xinyu,Warwick,Xinyu Warwick,BulkUsers,Xinyu.Warwick@cloudoperations.com,Welcome104,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hironoby.Piveteau,Hironoby,Piveteau,Hironoby Piveteau,BulkUsers,Hironoby.Piveteau@cloudoperations.com,Welcome105,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Eben.Aingworth,Eben,Aingworth,Eben Aingworth,BulkUsers,Eben.Aingworth@cloudoperations.com,Welcome106,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Dung.Baca,Dung,Baca,Dung Baca,BulkUsers,Dung.Baca@cloudoperations.com,Welcome107,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Lunjin.Giveon,Lunjin,Giveon,Lunjin Giveon,BulkUsers,Lunjin.Giveon@cloudoperations.com,Welcome108,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mariusz.Prampolini,Mariusz,Prampolini,Mariusz Prampolini,BulkUsers,Mariusz.Prampolini@cloudoperations.com,Welcome109,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Xuejia.Ullian,Xuejia,Ullian,Xuejia Ullian,BulkUsers,Xuejia.Ullian@cloudoperations.com,Welcome110,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hugo.Rosis,Hugo,Rosis,Hugo Rosis,BulkUsers,Hugo.Rosis@cloudoperations.com,Welcome111,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Yuichiro.Swick,Yuichiro,Swick,Yuichiro Swick,BulkUsers,Yuichiro.Swick@cloudoperations.com,Welcome112,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Jaewon.Syrzycki,Jaewon,Syrzycki,Jaewon Syrzycki,BulkUsers,Jaewon.Syrzycki@cloudoperations.com,Welcome113,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Munir.Demeyer,Munir,Demeyer,Munir Demeyer,BulkUsers,Munir.Demeyer@cloudoperations.com,Welcome114,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Chikara.Rissland,Chikara,Rissland,Chikara Rissland,BulkUsers,Chikara.Rissland@cloudoperations.com,Welcome115,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Dayanand.Czap,Dayanand,Czap,Dayanand Czap,BulkUsers,Dayanand.Czap@cloudoperations.com,Welcome116,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kiyotoshi.Blokdijk,Kiyotoshi,Blokdijk,Kiyotoshi Blokdijk,BulkUsers,Kiyotoshi.Blokdijk@cloudoperations.com,Welcome117,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Zhonghui.Zyda,Zhonghui,Zyda,Zhonghui Zyda,BulkUsers,Zhonghui.Zyda@cloudoperations.com,Welcome118,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Domenick.Peltason,Domenick,Peltason,Domenick Peltason,BulkUsers,Domenick.Peltason@cloudoperations.com,Welcome119,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Armond.Fairtlough,Armond,Fairtlough,Armond Fairtlough,BulkUsers,Armond.Fairtlough@cloudoperations.com,Welcome120,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Guoxiang.Ramsay,Guoxiang,Ramsay,Guoxiang Ramsay,BulkUsers,Guoxiang.Ramsay@cloudoperations.com,Welcome121,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Ohad.Esposito,Ohad,Esposito,Ohad Esposito,BulkUsers,Ohad.Esposito@cloudoperations.com,Welcome122,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hinrich.Randi,Hinrich,Randi,Hinrich Randi,BulkUsers,Hinrich.Randi@cloudoperations.com,Welcome123,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Geraldo.Marwedel,Geraldo,Marwedel,Geraldo Marwedel,BulkUsers,Geraldo.Marwedel@cloudoperations.com,Welcome124,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Syozo.Hiltgen,Syozo,Hiltgen,Syozo Hiltgen,BulkUsers,Syozo.Hiltgen@cloudoperations.com,Welcome125,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kayoko.Valtorta,Kayoko,Valtorta,Kayoko Valtorta,BulkUsers,Kayoko.Valtorta@cloudoperations.com,Welcome126,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Subir.Baja,Subir,Baja,Subir Baja,BulkUsers,Subir.Baja@cloudoperations.com,Welcome127,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Babette.Lamba,Babette,Lamba,Babette Lamba,BulkUsers,Babette.Lamba@cloudoperations.com,Welcome128,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Armond.Peir,Armond,Peir,Armond Peir,BulkUsers,Armond.Peir@cloudoperations.com,Welcome129,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
